record_id,batch,source_file,page,source_task_id,source_order,task_title,raw_title,l1_scene,l2_skill,normalized_key,l1_scene_en,l2_skill_en,batch_label,task_title_en
batch2:001,batch2,tacWAM_触觉数据采集第二批(1).pdf,1,F1,1,给记号笔盖上笔帽并拔下,给记号笔盖上笔帽并拔下（难度：易）,办公室,插入/拔出/对准,给记号笔盖上笔帽并拔下,Office,Insert / Remove / Align,Batch 2,Cap and uncap a marker
batch2:002,batch2,tacWAM_触觉数据采集第二批(1).pdf,1,F2,2,将吸管插入一次性塑料杯盖并拔出,将吸管插入一次性塑料杯盖并拔出（难度：易）,厨房,插入/拔出/对准,将吸管插入一次性杯盖并拔出,Kitchen,Insert / Remove / Align,Batch 2,Insert a straw into a disposable plastic cup lid and remove it
batch2:003,batch2,tacWAM_触觉数据采集第二批(1).pdf,1,F3,3,沿四周压紧收纳盒盖并打开,沿四周压紧收纳盒盖并打开（难度：易）,厨房,开合/密封,沿四周压紧收纳盒盖并打开,Kitchen,Open / Close / Seal,Batch 2,"Press around a storage-box lid to seal it, then open it"
batch2:004,batch2,tacWAM_触觉数据采集第二批(1).pdf,1,F4,4,将电池装入电池槽,将电池装入电池槽（难度：中）,工具台,插入/拔出/对准,将电池装入电池槽,Workbench,Insert / Remove / Align,Batch 2,Insert a battery into a battery compartment
batch2:005,batch2,tacWAM_触觉数据采集第二批(1).pdf,2,F5,5,将充电器头压入插排并拔出,将充电器头压入插排并拔出（难度：易）,办公室,插入/拔出/对准,将充电器头压入插排并拔出,Office,Insert / Remove / Align,Batch 2,Insert a charger plug into a power strip and unplug it
batch2:006,batch2,tacWAM_触觉数据采集第二批(1).pdf,2,G1,6,用印章在纸上压出图案,用印章在纸上压出图案（难度：易）,办公室,工具操作/装配/固定,用印章在纸上压出图案,Office,Tool Use / Assembly / Fixing,Batch 2,Stamp a pattern onto paper
batch2:007,batch2,tacWAM_触觉数据采集第二批(1).pdf,2,G2,7,用记号笔沿线描画,用记号笔沿线描画（难度：易）,办公室,测量/标记/文档操作,用记号笔沿线描画,Office,Measure / Label / Document,Batch 2,Trace a line with a marker
batch2:008,batch2,tacWAM_触觉数据采集第二批(1).pdf,2,G3,8,用食品夹夹取海绵块并放入杯中,用食品夹夹取海绵块并放入杯中（难度：易）,厨房,工具操作/装配/固定,用食品夹夹取海绵块并放入杯中,Kitchen,Tool Use / Assembly / Fixing,Batch 2,Use kitchen tongs to pick up a sponge block and place it in a cup
batch2:009,batch2,tacWAM_触觉数据采集第二批(1).pdf,2,G4,9,按压喷雾瓶扳机喷一次水,按压喷雾瓶扳机喷一次水（难度：易）,厨房,主动触觉/按压/分类,按压喷雾瓶扳机喷一次水,Kitchen,Active Tactile / Press / Classify,Batch 2,Press a spray-bottle trigger once
batch2:010,batch2,tacWAM_触觉数据采集第二批(1).pdf,2,G5,10,用勺子舀取干豆并倒入杯中,用勺子舀取干豆并倒入杯中（难度：易）,厨房,固体处理/称量/过滤,用勺子舀取干豆并倒入杯中,Kitchen,Solids / Weighing / Filtration,Batch 2,Scoop dry beans with a spoon and pour them into a cup
